epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.2554408567238809,0.885451562179531,0.02251792685050782,0.9936183790682833,0.9887831407205983,0.997599451303155,0.9931717309662
2,0.10031416386412721,0.9553907157995488,0.007981309082235514,0.9984045947670709,0.9965823650034177,1.0,0.9982882574460801
3,0.07468361476425327,0.966090107335749,0.004417104318416957,0.9992022973835354,0.9982882574460801,1.0,0.9991433955799212
4,0.05598063325813449,0.9741573801873248,0.0036979034514763305,0.9990427568602425,0.9993136582017845,0.9986282578875172,0.9989708404802744
5,0.05485219127703309,0.9781568332535722,0.0021912169659983887,0.9993618379068283,0.9993141289437586,0.9993141289437586,0.9993141289437586
6,0.04237621481827977,0.9816093525671703,0.0041774708504830355,0.9995213784301212,0.998972250770812,1.0,0.9994858611825193
7,0.03891399054651375,0.98396800437547,0.004092747202716357,0.9987236758136566,0.9979452054794521,0.9993141289437586,0.9986291980808774
8,0.03616533686719419,0.984856771723525,0.003061140076954262,0.9993618379068283,0.9989718985606579,0.9996570644718793,0.9993143640726774
9,0.03628035555771501,0.9851986053189308,0.004854990729883716,0.9995213784301212,0.9993143640726774,0.9996570644718793,0.9994856848962798
10,0.029524182533630684,0.9870445067341218,0.005754107553855288,0.9993618379068283,0.9993141289437586,0.9993141289437586,0.9993141289437586
