epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.660472566638674,0.5938571428571429,0.580442054549853,0.7113333333333334,0.6534365924491772,0.9,0.7571508693213684
2,0.5753932042803083,0.7121428571428572,0.4904410433769226,0.7853333333333333,0.7845744680851063,0.7866666666666666,0.7856191744340879
3,0.5296275947093964,0.747,0.4523813222646713,0.8053333333333333,0.8377581120943953,0.7573333333333333,0.7955182072829131
4,0.5116432140384402,0.7555714285714286,0.44852371350924175,0.7926666666666666,0.7603795966785291,0.8546666666666667,0.8047708725674827
5,0.49794578850269317,0.7665714285714286,0.4084975937008858,0.8333333333333334,0.8298153034300791,0.8386666666666667,0.8342175066312998
6,0.48282458957604,0.7737142857142857,0.3946798009077708,0.828,0.8194805194805195,0.8413333333333334,0.8302631578947368
7,0.48378217348030633,0.7722857142857142,0.4034511633440852,0.8213333333333334,0.7782909930715936,0.8986666666666666,0.8341584158415841
8,0.4758518217120852,0.7781428571428571,0.40342706883450347,0.8166666666666667,0.7797408716136631,0.8826666666666667,0.8280175109443402
9,0.474057179416929,0.7748571428571429,0.39136403022706506,0.8206666666666667,0.7832744405182568,0.8866666666666667,0.8317698561601
10,0.45456094077655246,0.7921428571428571,0.3795846235354741,0.836,0.8181818181818182,0.864,0.8404669260700389
11,0.464444420005594,0.7812857142857143,0.36973122958342236,0.836,0.8342175066312998,0.8386666666666667,0.836436170212766
12,0.4630980656998498,0.775,0.36982375173767407,0.8333333333333334,0.8731343283582089,0.78,0.823943661971831
13,0.45272735672337666,0.7865714285714286,0.3521003746688366,0.8486666666666667,0.8538565629228687,0.8413333333333334,0.847548690396239
14,0.4485397392681667,0.7914285714285715,0.3634744763026635,0.842,0.8318240620957309,0.8573333333333333,0.8443860801050558
15,0.45052475140775955,0.7862857142857143,0.35015338522444167,0.8393333333333334,0.8416107382550335,0.836,0.8387959866220736
16,0.44261475850003107,0.7904285714285715,0.360405313188831,0.836,0.8705882352941177,0.7893333333333333,0.827972027972028
17,0.44152872645003455,0.7947142857142857,0.3424268556199968,0.8573333333333333,0.8471502590673575,0.872,0.859395532194481
18,0.44924354870830263,0.7865714285714286,0.3459132319167256,0.854,0.8425806451612903,0.8706666666666667,0.8563934426229508
19,0.4399102365033967,0.7945714285714286,0.3290397153956195,0.866,0.8335358444714459,0.9146666666666666,0.8722186904005086
20,0.4427194267851966,0.7911428571428571,0.3208254189863801,0.8686666666666667,0.8701472556894244,0.8666666666666667,0.8684034736138945
