epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.6024728045122965,0.7001428571428572,0.26288485326676164,0.916,0.9712990936555891,0.8573333333333333,0.9107648725212465
2,0.33489907691521303,0.8155714285714286,0.08402308769573695,0.974,0.9972027972027973,0.9506666666666667,0.9733788395904437
3,0.27001566140460115,0.8557142857142858,0.06358239467680112,0.9873333333333333,0.9972789115646259,0.9773333333333334,0.9872053872053872
4,0.21485663641736444,0.8831428571428571,0.04011097930949316,0.9946666666666667,0.9907407407407407,0.9986666666666667,0.9946879150066401
5,0.20287761209585836,0.892,0.032258913876650086,0.9926666666666667,0.9986504723346828,0.9866666666666667,0.9926224010731053
6,0.16880049787099585,0.9172857142857143,0.025859009796859008,0.9973333333333333,0.9986631016042781,0.996,0.9973297730307076
7,0.16417648008984648,0.916,0.022259807201688412,0.996,0.993368700265252,0.9986666666666667,0.9960106382978723
8,0.16454541654003177,0.9198571428571428,0.017112570598324283,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667
9,0.14405865548038854,0.9281428571428572,0.02087313934870548,0.9973333333333333,0.9986631016042781,0.996,0.9973297730307076
10,0.1428902708310036,0.9298571428571428,0.020400085978526928,0.9966666666666667,0.996005326231691,0.9973333333333333,0.9966688874083944
11,0.14065646882203042,0.9331428571428572,0.019314854263812544,0.998,0.9986648865153538,0.9973333333333333,0.9979986657771848
12,0.1229316960705494,0.9431428571428572,0.0126896812364542,0.9993333333333333,0.9986684420772304,1.0,0.9993337774816788
13,0.12176065097539478,0.9402857142857143,0.016310040187281986,0.9973333333333333,0.9986631016042781,0.996,0.9973297730307076
14,0.12302307625157119,0.9421428571428572,0.01611055867059811,0.9993333333333333,0.9986684420772304,1.0,0.9993337774816788
15,0.115224942727397,0.9437142857142857,0.011899607720497155,0.9986666666666667,0.9986666666666667,0.9986666666666667,0.9986666666666667
16,0.11495140597392843,0.9444285714285714,0.017250999493421362,0.9973333333333333,1.0,0.9946666666666667,0.9973262032085561
17,0.09238791891892639,0.957,0.00959292285471793,1.0,1.0,1.0,1.0
18,0.10355547719789795,0.9514285714285714,0.01341390090398844,0.9986666666666667,0.9973404255319149,1.0,0.9986684420772304
19,0.09842833476454357,0.9527142857142857,0.014354708738388344,0.9986666666666667,1.0,0.9973333333333333,0.9986648865153538
20,0.09106881549946869,0.9578571428571429,0.013645601903228105,0.9986666666666667,1.0,0.9973333333333333,0.9986648865153538
