epoch,train_loss,train_acc,val_loss,val_acc,val_precision,val_recall,val_f1
1,0.5632371298391674,0.7054761741984003,0.4132844433117118,0.8171665603063178,0.7975790181573639,0.813443072702332,0.8054329371816639
2,0.48196822802375167,0.7724755588979285,0.3789838515875841,0.8401403956604978,0.812133072407045,0.8539094650205762,0.8324974924774323
3,0.45917005419176943,0.7854994188828878,0.35098091228588724,0.8474792597319719,0.859501100513573,0.8034979423868313,0.8305565402339596
4,0.44783338320844523,0.7937376085321666,0.35700035723010654,0.8414167198468411,0.7986326911124922,0.8813443072702332,0.8379523964786436
5,0.4419366955459668,0.7936008750940042,0.3624917434560564,0.8375877472878112,0.9165935030728709,0.7160493827160493,0.804004620716211
6,0.4403385973709365,0.7947972926779244,0.34788458414694345,0.8433312061263561,0.8972884141331142,0.7489711934156379,0.8164485981308411
7,0.4359290029448887,0.7955493265878171,0.3786951858207379,0.8431716656030632,0.9069473684210526,0.7386831275720165,0.8142128142128142
8,0.434598462660852,0.7969508443289807,0.31744877519335624,0.8742820676451819,0.8717679944095038,0.8556241426611797,0.8636206299757702
9,0.4286149544885237,0.8025227319340945,0.33935665566085355,0.8549776643267389,0.835506519558676,0.8569958847736625,0.8461147790756729
10,0.43222456050174224,0.7997538798113079,0.3710006811119968,0.8412571793235482,0.8257036283485928,0.8350480109739369,0.8303495311167945
11,0.4341145554186747,0.797805428317495,0.3053269067778589,0.8722080408423739,0.8419010669253152,0.8930041152263375,0.8666999500748876
12,0.4296262390952838,0.7997880631708484,0.3513568266599196,0.8557753669432036,0.9086108854589764,0.7671467764060357,0.8319077724060989
13,0.4282536895955474,0.8001982634853353,0.34688275675763314,0.8521059349074664,0.821948850760764,0.870713305898491,0.8456286427976686
14,0.42799973984797085,0.8030354823272031,0.3143079954607504,0.8629546904913848,0.8653641207815276,0.8353909465020576,0.850113418251614
15,0.42370462012142623,0.8058043344499898,0.3107097196082472,0.8755583918315252,0.8635125936010892,0.8700274348422496,0.866757772463273
16,0.42307661889296544,0.8036849661584741,0.3920768409328215,0.8430121250797703,0.8479827089337176,0.8072702331961591,0.8271257905832747
